,z,y,x,intensity,volume
70,2.13333,35.559, 1.404,49000,0.0314928
71,   2.1,35.721,22.923,68754,0.0419904
72,   2.1,36.207,11.583,66887,0.0419904
73,     2,37.044, 9.288,24506,0.0157464
74,     2,37.341, 2.511,34646,0.0209952
75,     2,39.123,25.677,32965,0.0209952
76,     2,41.877, 8.343,31852,0.0209952
77,     2,42.849,13.122,15056,0.0104976
78,     2,44.793,17.253,36567,0.0209952
79,  2.16,44.9388,38.2968,40288,0.026244
80,     2,45.036,42.525,17612,0.0104976
81,2.11429,45.5914,39.1346,59840,0.0367416
82,2.13333,  45.9,37.341,52317,0.0314928
83,     2,47.628,43.092,8182,0.0052488
84,     2,48.5028,49.8636,40760,0.026244
85,   2.2,32.805,  0.81,16757,0.0104976
86,  2.28,36.5796,7.5168,39121,0.026244
87,2.31429,38.9494,32.7934,57205,0.0367416
88,   2.2,39.258,18.684,25102,0.0157464
89,2.28571,39.5974,8.03057,60454,0.0367416
90,  2.24,40.4352,21.6108,41730,0.026244
91,   2.3,41.391,39.123,66032,0.0419904
92,2.28571,42.0506,37.3526,60663,0.0367416
93,  2.28,42.4116,26.9892,41040,0.026244
94,   2.2,43.821,21.627,34982,0.0209952
95,2.31429,44.7814,20.0186,56891,0.0367416
96,2.31429,45.1054,24.3926,62206,0.0367416
97,   2.2,47.709,39.447,32149,0.0209952
98,   2.3,51.678,54.108,17016,0.0104976
99,2.48571,29.0906,0.717429,56071,0.0367416
100,   2.4,31.023, 6.237,35002,0.0209952
101,   2.4,31.185, 2.673,33003,0.0209952
102,   2.4,31.104, 11.34,8402,0.0052488
103,2.46667,32.967,12.204,56753,0.0314928
104,   2.4,33.156,20.682,24100,0.0157464
105,   2.4,33.615,20.007,35712,0.0209952
106,   2.4,34.587,28.431,30894,0.0209952
107,   2.4,37.503,29.727,33623,0.0209952
108,   2.4,39.771,21.141,34903,0.0209952
109,  2.44,40.2732,24.8832,44130,0.026244
110,   2.4,40.5324,27.7992,44715,0.026244
111,   2.4,40.662,31.266,7118,0.0052488
112,   2.4,41.607,19.629,49782,0.0314928
113,  2.44,41.7312,23.1012,43169,0.026244
114,2.42857,42.1431,7.03543,58189,0.0367416
115,2.46667,42.147,14.607,49734,0.0314928
116,2.46667,42.525, 15.93,59969,0.0314928
117,2.48571,42.5366,44.1334,66209,0.0367416
118,  2.52,42.6384,40.7592,40970,0.026244
119,   2.4,43.983,12.717,37322,0.0209952
120,   2.4,44.307,24.057,37055,0.0209952
121,2.46667,44.307,42.984,54824,0.0314928
122,   2.4,44.631,41.229,36442,0.0209952
123,   2.4,45.441,41.877,37201,0.0209952
124,2.44444,45.486,44.244,79764,0.0472392
125,  2.44,47.3688,49.3128,41993,0.026244
126,   2.4,48.3732,33.1776,42724,0.026244
127,   2.4,49.248,46.575,16316,0.0104976
128,   2.6,31.266,11.259,16853,0.0104976
129,   2.6,35.3484,4.3092,44082,0.026244
130,   2.6,35.559,10.935,35268,0.0209952
131,  2.64,35.7372,30.1968,46263,0.026244
132,   2.6,40.095,20.007,32535,0.0209952
133,   2.6,43.497, 8.181,31544,0.0209952
134,   2.6,44.793,30.537,32475,0.0209952
135,   2.6,45.279,42.849,35638,0.0209952
136,   2.6,50.949,50.301,32312,0.0209952
137,   2.6,55.4364,56.4408,48392,0.026244
138,  2.96,32.7888,20.6712,40876,0.026244
139,2.93333, 32.94, 3.483,54760,0.0314928
140,2.94286,33.1174,19.4863,62237,0.0367416
141,   2.9,33.939,10.611,72197,0.0419904
142,2.93333,39.636,15.633,49246,0.0314928
143,  2.96,39.9168,8.1972,40643,0.026244
144,   2.9,44.145,47.223,64636,0.0419904
145,   2.9,47.385,31.671,68680,0.0419904
146,  2.92,49.0212,51.8724,42367,0.026244
147,   2.9,51.435,43.821,65620,0.0419904
148,   3.1,30.051,  2.43,31576,0.0209952
149,     3,31.995,11.178,15423,0.0104976
150,3.06667, 32.13,14.337,48369,0.0314928
151,3.13333,34.101, 2.052,48697,0.0314928
152,     3, 37.53,23.436,23340,0.0157464
153,   3.1,39.771, 4.779,67787,0.0419904
154,     3,43.092,21.141,15206,0.0104976
155,     3,  43.2, 46.44,24382,0.0157464
156,3.06667,43.632,16.362,23877,0.0157464
157,   3.1,45.603,39.285,70736,0.0419904
158,     3,46.089,47.547,32474,0.0209952
159,   3.1,50.598,51.408,49942,0.0314928
160,     3,54.054,56.646,25332,0.0157464
161,  3.25,35.073,4.8195,35508,0.0209952
162,   3.2,35.073,20.331,41257,0.0209952
163,   3.3,36.045, 7.695,74950,0.0419904
164,   3.2,37.827,14.175,36431,0.0209952
165,   3.2,37.854,34.398,23930,0.0157464
166,  3.24,38.9772,10.7568,41628,0.026244
167,   3.2,42.201, 14.58,16910,0.0104976
168,   3.3,43.335,40.743,70421,0.0419904
169,3.26667,43.821, 31.32,59755,0.0314928
170,   3.2,45.036,43.578,7807,0.0052488
171, 3.225,50.706,57.0645,68581,0.0419904
172,   3.2,51.111,51.921,32344,0.0209952
173,3.33333,53.217,52.218,47458,0.0314928
174,  3.25,56.1735,55.1205,34132,0.0209952
175,   3.4,29.889, 5.427,37378,0.0209952
176,   3.4,31.3065,11.502,32896,0.0209952
177,3.45714,32.6314,7.05857,60418,0.0367416
178,   3.4,35.073, 8.667,35361,0.0209952
179,   3.4,35.397,16.443,37041,0.0209952
180,   3.4,37.827,10.611,32036,0.0209952
181,3.48571,38.4866,12.2426,57935,0.0367416
182,   3.4,38.475,18.873,32692,0.0209952
183,  3.56,39.2688,32.6592,42971,0.026244
184,   3.4,40.905,20.007,33376,0.0209952
185,  3.56,41.3748,42.0552,48293,0.026244
186,   3.4,42.201,25.272,16483,0.0104976
187,   3.4,45.8784,43.9668,44982,0.026244
188,   3.4,46.575,50.139,37216,0.0209952
189,   3.4,46.899,27.864,15722,0.0104976
190,  3.56,46.8828,41.5692,38746,0.026244
191,  3.56,48.6648,34.2468,45266,0.026244
192,   3.5,53.055,59.535,74635,0.0419904
193,  3.45,54.3915,57.1455,35356,0.0209952
194,  3.56,56.6028,53.0388,46216,0.026244
195,3.73333,31.185,10.314,55631,0.0314928
196,  3.72,32.8212,10.3032,38894,0.026244
197,   3.6,33.8904,23.7168,49065,0.026244
198,3.71429,36.1954,9.65057,64149,0.0367416
199,3.71429,37.3294,21.3146,57006,0.0367416
200,  3.76,41.8608,10.6272,40944,0.026244
201,  3.75,42.1605,36.7335,33115,0.0209952
202,   3.7,42.525,41.229,69592,0.0419904
203,   3.6,42.687,29.889,35212,0.0209952
204,   3.6,43.524, 2.538,25474,0.0157464
205,  3.76,44.1288,49.5072,44692,0.026244
206,   3.6,44.388,26.001,51803,0.0314928
207,   3.6,44.793,14.175,34928,0.0209952
208,   3.6,46.089,48.681,32928,0.0209952
209,   3.6,47.358,33.102,24490,0.0157464
210,3.73333,48.492,38.961,56169,0.0314928
211,3.73333,48.546,53.055,51595,0.0314928
212,   3.6,50.895,50.571,59081,0.0314928
213,   3.6,54.918,54.756,8763,0.0052488
214,   3.6,56.052,60.669,32824,0.0209952
215,   3.7,59.535,59.859,71102,0.0419904
216,  3.76,60.0048,63.0828,42335,0.026244
217,   3.7,61.479,67.311,65519,0.0419904
218,   3.9,29.484, 5.346,16876,0.0104976
219,3.93333,31.347,17.766,50787,0.0314928
220,   3.8,31.428,15.471,15166,0.0104976
221,3.91429,32.3074,8.84057,60069,0.0367416
222,3.91429,32.9554,20.3426,60659,0.0367416
223,   3.9,32.967,23.733,70093,0.0419904
224,   3.9,32.967,24.705,68138,0.0419904
225,   3.8,33.453,28.107,30818,0.0209952
226,   3.8,33.777,13.203,37135,0.0209952
227,   3.9, 34.02,24.381,34202,0.0209952
228,3.88571,35.8946,21.6154,61674,0.0367416
229,  3.96,36.3528,11.5992,40330,0.026244
230,   3.9,36.855, 6.237,66935,0.0419904
231,3.91429,37.9774,5.57743,57554,0.0367416
232,   3.9,38.961,16.767,64974,0.0419904
233,   3.8,39.204, 5.103,16177,0.0104976
234,   3.8,39.285, 8.343,31147,0.0209952
235,   3.8,41.553,19.683,33265,0.0209952
236,   3.8,41.634, 3.564,7954,0.0052488
237,  3.84,41.6988,25.3368,42506,0.026244
238,3.86667,42.849, 23.22,47752,0.0314928
239,   3.8,43.335,47.061,35043,0.0209952
240,   3.9,43.821,20.007,67606,0.0419904
241,   3.8,44.145,33.615,31728,0.0209952
242,   3.8,44.631,37.341,32258,0.0209952
243,  3.84,44.8092,29.7108,42260,0.026244
244,3.88571,45.4526,28.7434,58679,0.0367416
245,   3.9,46.413,28.593,70047,0.0419904
246,   3.9, 46.98,52.569,31951,0.0209952
247,   3.8,47.709,42.525,32034,0.0209952
248,   3.8,47.709,52.569,35813,0.0209952
249,   3.8,48.222,46.062,23015,0.0157464
250,   3.9,  48.6,41.634,15338,0.0104976
251,3.86667,50.544, 48.87,24557,0.0157464
252,   3.9,51.111,56.295,68643,0.0419904
253,   3.8,52.0344,41.3748,41255,0.026244
254,   3.8,52.731,53.379,32711,0.0209952
255,   3.9,58.887,64.557,67089,0.0419904
256,3.88571,60.4954,59.8474,58231,0.0367416
257,3.88889,61.938,65.052,76970,0.0472392
258,   3.9,63.261,72.819,67245,0.0419904
259,     4,40.905,39.123,34248,0.0209952
260,   4.2,30.834,11.394,24533,0.0157464
261,4.23333,31.617, 8.802,53378,0.0314928
262,   4.2,34.101,29.727,37406,0.0209952
263,   4.2,39.123, 6.723,32807,0.0209952
264,   4.2,39.447,41.553,37640,0.0209952
265,4.26667,39.636,10.611,50435,0.0314928
266,  4.25,40.9455,12.4335,31777,0.0209952
267,4.26667,40.878,22.194,23963,0.0157464
268,   4.2,42.687,43.173,38677,0.0209952
269,  4.24,45.2952,41.6988,49217,0.026244
270,  4.36,45.4248,39.9492,44032,0.026244
271,  4.36,45.7488,44.3232,47049,0.026244
272,   4.2,50.139,57.267,34561,0.0209952
273,   4.2,51.273,43.821,32507,0.0209952
274,   4.2,51.435,53.703,41440,0.0209952
275,   4.2,53.163,57.942,53776,0.0314928
276,   4.2,54.189,50.139,33353,0.0209952
277,   4.2,55.161,65.205,39805,0.0209952
278,  4.24,56.1492,54.9828,41649,0.026244
279,   4.2,57.591,59.373,32995,0.0209952
280,   4.2,57.591,65.853,35557,0.0209952
281,4.28571,62.1154,68.7574,64948,0.0367416
282,   4.5,34.263, 9.963,69367,0.0419904
283,  4.56,35.2188,18.4032,45036,0.026244
284,   4.4,35.559,20.007,34818,0.0209952
285,   4.4,35.964,21.222,8781,0.0052488
286,   4.4,36.531, 8.829,34320,0.0209952
287,   4.4,37.989,31.995,33448,0.0209952
288,   4.4,39.447,37.341,33840,0.0209952
289,  4.55,40.1962,18.8325,70983,0.0419904
290,   4.4,40.986,22.356,8038,0.0052488
291,   4.4,42.687, 29.97,54564,0.0314928
292,   4.4,43.173,12.393,36241,0.0209952
293,4.54286,44.1334,27.5863,61135,0.0367416
294,4.53333,48.168,45.846,25104,0.0157464
295,   4.4,48.843,37.989,34248,0.0209952
296,   4.4,48.843,53.379,31908,0.0209952
297,   4.4,49.005,57.753,32763,0.0209952
298,   4.4,49.8636,43.6428,44183,0.026244
299,   4.4,50.139,48.519,35997,0.0209952
300,4.53333,51.192, 40.23,23996,0.0157464
301,   4.4,54.513,61.155,37914,0.0209952
302,   4.4,59.535,68.283,42649,0.0209952
303,   4.6,30.051, 5.913,36127,0.0209952
304,4.71429,30.5254,1.87457,58895,0.0367416
305,  4.68,31.0392,13.2192,44375,0.026244
306,4.73333,34.587,28.134,51728,0.0314928
307,   4.6,35.073,26.406,16569,0.0104976
308,   4.7, 35.37,32.616,47483,0.0314928
309,   4.7,35.721,22.761,68778,0.0419904
310,4.73333,36.531,30.078,51314,0.0314928
311,   4.6,37.179, 7.452,16234,0.0104976
312,   4.6,38.475,10.611,35968,0.0209952
313,  4.64,39.3012,4.4388,41370,0.026244
314,4.71429,39.9214,34.4134,58086,0.0367416
315,  4.75,40.7025,20.3715,31827,0.0209952
316,   4.6,40.743,31.995,36272,0.0209952
317,   4.6,40.905,41.391,34125,0.0209952
318,   4.6,41.229,40.905,33769,0.0209952
319,   4.6,41.9256,9.6228,43786,0.026244
320,4.66667,42.552, 7.371,48354,0.0314928
321,   4.7,43.335,20.817,70657,0.0419904
322,   4.6,43.821,49.005,34811,0.0209952
323,   4.7,44.793,36.693,68647,0.0419904
324,4.66667,52.596,50.139,55195,0.0314928
325,4.66667,54.378,63.909,51190,0.0314928
326,4.68571,55.6586,57.9034,59945,0.0367416
327,   4.7,57.105,54.837,68966,0.0419904
328,  4.75,64.3545,74.1555,35312,0.0209952
329,   4.8,28.674, 0.567,16619,0.0104976
330,   4.8,29.646, 2.025,50117,0.0314928
331,   4.8,30.861, 6.561,30324,0.0209952
332,   4.8,31.347,13.689,36998,0.0209952
333,   4.8,31.833, 7.857,32749,0.0209952
334,   4.8,33.615, 3.969,33801,0.0209952
335,   4.9,34.263,23.247,70463,0.0419904
336,4.86667,34.398, 3.159,47983,0.0314928
337,  4.85,34.7085,12.3525,34192,0.0209952
338,   4.8,35.073,26.244,15589,0.0104976
339,   4.8,36.774, 9.396,8103,0.0052488
340,   4.9,37.665,22.113,64956,0.0419904
341,   4.9,37.827,23.733,69567,0.0419904
342,   4.8,38.637,12.393,33082,0.0209952
343,   4.8,39.798, 9.936,23513,0.0157464
344,   4.8,40.257, 12.15,16204,0.0104976
345,   4.8,40.419, 0.891,30058,0.0209952
346,   4.8,42.606,25.758,7757,0.0052488
347,4.86667,42.849,18.846,52783,0.0314928
348,4.88571,44.3186,50.1274,56996,0.0367416
349,4.86667, 45.63,18.063,52613,0.0314928
350,  4.85,46.0485,20.2905,31236,0.0209952
351,   4.8,46.251,28.107,37560,0.0209952
352,  4.84,47.4012,23.7168,44936,0.026244
353,   4.8,48.276,35.802,7515,0.0052488
354,   4.8,49.005,33.615,35342,0.0209952
355,  4.84,49.1832,50.3172,49579,0.026244
356,4.85714,50.706,45.9849,56720,0.0367416
357,   4.9,54.675,56.133,67044,0.0419904
358,4.88571,55.4734,49.6646,58033,0.0367416
359,   4.8,56.295,47.385,33943,0.0209952
360,   4.9,57.105,67.311,72860,0.0419904
361,  4.84,63.2772,62.5968,38946,0.026244
362,   4.9,67.959,76.869,62759,0.0419904
363,     5,31.347,16.119,32633,0.0209952
364,     5,32.562,5.4675,34424,0.0209952
365,     5,33.453,16.929,33970,0.0209952
366,     5,34.425,21.141,41160,0.0209952
367,     5,37.341,15.471,34162,0.0209952
368,     5,39.771,22.599,34691,0.0209952
369,     5,41.229, 1.215,37227,0.0209952
370,     5,42.687,45.441,34047,0.0209952
371,     5,43.1244,27.7668,47382,0.026244
372,     5,43.173,42.849,34964,0.0209952
373,     5,43.497, 5.103,30595,0.0209952
374,     5,44.469,11.583,35259,0.0209952
375,     5,44.955,28.593,35615,0.0209952
376,     5,44.9388,38.1024,40434,0.026244
377,     5,45.144,51.786,24970,0.0157464
378,     5,45.576, 46.71,24251,0.0157464
379,     5,48.195,39.609,36756,0.0209952
380,     5,51.597,54.351,38313,0.0209952
381,     5,52.245,59.535,35140,0.0209952
382,     5,55.647,56.781,37396,0.0209952
383,     5,56.943,53.055,36075,0.0209952
384,  5.16,65.1888,75.1032,45219,0.026244
385,     5,66.015,77.031,34915,0.0209952
386,   5.2,29.565, 6.966,17462,0.0104976
387,   5.2,33.453, 8.829,34707,0.0209952
388,5.33333,33.912,27.783,48169,0.0314928
389,   5.2,35.073, 2.025,34361,0.0209952
390,   5.2,35.397,21.627,33158,0.0209952
391,   5.2,35.883, 6.075,32987,0.0209952
392,  5.32,38.9124,37.6488,42822,0.026244
393,   5.2,39.447,30.375,36685,0.0209952
394,  5.36,39.7548,5.4432,41481,0.026244
395,   5.2,39.771,28.107,36006,0.0209952
396,  5.36,41.5368,2.5272,43683,0.026244
397,   5.2,41.715,36.531,35170,0.0209952
398,   5.2,42.363,37.665,37205,0.0209952
399,5.33333,43.308,46.251,49846,0.0314928
400,   5.2,43.821,22.275,39663,0.0209952
401,5.31429,43.9714,31.1966,56910,0.0367416
402,  5.36,44.6148,9.6552,39859,0.026244
403,  5.36,46.2348,54.6588,43724,0.026244
404,   5.3,46.3725,46.3725,33523,0.0209952
405,  5.36,47.2068,37.1952,40199,0.026244
406,5.33333,47.547,45.306,52889,0.0314928
407,   5.2,49.734,51.7995,32561,0.0209952
408,   5.3,49.815,38.151,67654,0.0419904
409,   5.2,51.2568,39.1716,46084,0.026244
410,   5.2,52.731,49.977,36451,0.0209952
411,   5.2,53.541,54.513,34231,0.0209952
412,   5.2,54.513,60.507,31368,0.0209952
413,   5.2,56.943,51.759,36023,0.0209952
414,   5.2,61.479,61.317,40289,0.0209952
415,   5.2,62.4672,76.4964,43659,0.026244
416,   5.2,64.935,65.475,50457,0.0314928
417,5.33333,66.474,73.305,52121,0.0314928
418,   5.4,30.213,15.633,35490,0.0209952
419,   5.4,30.375, 9.153,37958,0.0209952
420,  5.56,33.1128,3.9528,43119,0.026244
421,   5.4, 33.21,15.147,15449,0.0104976
422,5.48571,33.9274,26.7994,64490,0.0367416
423,5.53333,35.208,12.474,23575,0.0157464
424,   5.4,35.154,28.269,15369,0.0104976
425,   5.5,36.531,31.347,71721,0.0419904
426,5.48571,37.0286,36.8666,58189,0.0367416
427,   5.4, 38.88,39.285,16002,0.0104976
428,   5.4,39.2445,   8.1,30960,0.0209952
429,   5.4,39.447, 9.801,33199,0.0209952
430,   5.4, 39.42,20.304,25819,0.0157464
431,   5.4,39.798, 4.644,24138,0.0157464
432,   5.4,40.257,45.927,31443,0.0209952
433,  5.52,43.9992,42.5736,42293,0.026244
434,   5.5,50.301,50.463,68982,0.0419904
435,   5.4,51.8724,58.5468,47858,0.026244
436,5.53333,57.294,61.884,24725,0.0157464
437,   5.5,59.535,70.551,69336,0.0419904
438,   5.5,61.965,71.847,66760,0.0419904
439,5.48571,62.6014,73.2934,60733,0.0367416
440,5.51429,71.0254,77.5286,56977,0.0367416
441,5.68571,30.0626,6.38743,59539,0.0367416
442,5.66667,31.671,  21.6,49558,0.0314928
443,   5.6,32.967, 8.343,33940,0.0209952
444,5.68889,38.286, 32.31,80720,0.0472392
445,   5.7,40.095,20.007,72439,0.0419904
446,   5.7,41.067,23.247,65410,0.0419904
447,5.68571,41.0786,24.5546,61192,0.0367416
448,   5.6,42.606,35.721,15468,0.0104976
449,  5.64,42.8652,4.7628,40904,0.026244
450,5.73333,42.849, 22.95,46721,0.0314928
451,5.66667, 42.93,38.124,24389,0.0157464
452,   5.7,43.335, 8.343,63693,0.0419904
453,5.66667,47.061,48.357,53077,0.0314928
454,   5.6,47.709,35.235,35912,0.0209952
455,5.68571,51.9326,54.6634,59531,0.0367416
456,   5.6,53.703,51.192,16169,0.0104976
457,   5.6,54.351,53.541,32408,0.0209952
458,   5.7, 54.54,44.118,46498,0.0314928
459,   5.7,56.457,60.183,69387,0.0419904
460,5.68571,69.5906,73.7794,58850,0.0367416
461,5.86667,31.293,16.173,49137,0.0314928
462,   5.8,31.6224,23.3928,44000,0.026244
463,   5.8,31.833, 8.829,31994,0.0209952
464,   5.9,31.833,13.203,63977,0.0419904
465,5.85714,32.9323,3.28629,63083,0.0367416
466,   5.8,32.967,22.032,48977,0.0314928
467,   5.8,33.939, 8.343,35199,0.0209952
468,   5.8,34.209,10.557,47715,0.0314928
469,   5.8,34.263,12.717,32418,0.0209952
470,  5.95,37.7865,24.705,31029,0.0209952
471,   5.8,38.637,24.705,31937,0.0209952
472,5.88571,39.4586,1.52743,60793,0.0367416
473,  5.88,39.4308,12.7656,39159,0.026244
474,   5.8,39.474,41.094,23784,0.0157464
475,   5.8,39.852,17.496,7355,0.0052488
476,   5.8,40.419,39.771,37117,0.0209952
477,  5.84,42.7032,2.4948,44480,0.026244
478,5.88571,43.1846,11.7566,62397,0.0367416
479,   5.8,43.362,42.174,27535,0.0157464
480,   5.8,45.441,34.425,37340,0.0209952
481,   5.8,46.089,24.057,30981,0.0209952
482,  5.85,46.2915,34.5465,34080,0.0209952
483,   5.8,46.332, 36.45,7918,0.0052488
484,  5.88,46.5588,35.3484,41348,0.026244
485,   5.8,48.033,27.297,33374,0.0209952
486,   5.8,49.005,48.519,38426,0.0209952
487,5.91429,54.1774,57.1166,57786,0.0367416
488,  5.88,55.0152,60.2964,39757,0.026244
489,   5.8,57.753,51.192,16712,0.0104976
490,   5.8,58.1904,67.8132,44349,0.026244
491,   5.8,60.993,57.429,37025,0.0209952
492,  5.84,61.1388,65.8368,41262,0.026244
493,5.88889,  63.9,  75.6,79755,0.0472392
494,   5.8,65.043,64.476,16724,0.0104976
495,     6,29.565, 1.215,33340,0.0209952
496,6.13333,35.532,32.967,57517,0.0314928
497,     6,38.475,30.699,33538,0.0209952
498,     6,39.285, 4.941,37311,0.0209952
499,6.13333,39.285,  35.1,54412,0.0314928
500,     6,39.447,22.275,31339,0.0209952
501,     6,39.447,23.733,35176,0.0209952
502,6.17778,41.058, 6.624,76067,0.0472392
503,     6,41.634,23.733,16222,0.0104976
504,     6,41.877, 2.673,37954,0.0209952
505,     6,42.0228,41.1804,42231,0.026244
506,  6.12,42.4764,15.9732,44127,0.026244
507,     6,43.821,48.195,33019,0.0209952
508,     6,46.494, 36.45,8406,0.0052488
509,  6.16,46.8828,51.2892,40143,0.026244
510,   6.1,49.653,48.519,77101,0.0419904
511,     6,51.273,52.731,34903,0.0209952
512,     6,51.273,61.803,35427,0.0209952
513,6.06667,52.542,56.943,50895,0.0314928
514,     6,56.7324,56.6352,44255,0.026244
515,     6,60.318,73.764,22611,0.0157464
516,  6.05,62.613,67.4325,33527,0.0209952
517,6.13333,63.423,60.831,50239,0.0314928
518,     6,66.906,75.492,8206,0.0052488
519,     6,67.797,71.523,39359,0.0209952
520,   6.2,29.241, 7.857,34487,0.0209952
521,  6.32,29.2896,9.6228,37956,0.026244
522,   6.2,32.886,15.957,15323,0.0104976
523,   6.2,34.911, 3.969,33407,0.0209952
524,6.33333,34.884,16.443,53255,0.0314928
525,   6.2,35.559,10.773,39559,0.0209952
526,   6.2,36.288,10.206,8300,0.0052488
527,   6.2,37.017,19.683,36797,0.0209952
528,6.33333,37.638, 5.103,52884,0.0314928
529,   6.2,38.151,22.761,34752,0.0209952
530,   6.3,38.151,39.771,68407,0.0419904
531,   6.2,38.961,27.459,41740,0.0209952
532,   6.2,39.042,13.689,15833,0.0104976
533,   6.3,39.933,25.677,68273,0.0419904
534,   6.2,40.743,12.717,35311,0.0209952
535,   6.2,41.067,11.745,30460,0.0209952
536,  6.36,42.8328,38.4588,43715,0.026244
537,   6.2,45.279,49.491,34749,0.0209952
538,   6.2,46.737,40.419,33052,0.0209952
539,   6.3,46.899,54.837,71236,0.0419904
540,6.31429,47.3734,43.3466,59283,0.0367416
541,   6.2,50.301,37.017,36653,0.0209952
542,6.31429,50.4514,61.6294,57886,0.0367416
543,   6.2,51.111,60.183,30956,0.0209952
544,   6.2,51.435,50.463,33286,0.0209952
545,   6.2,54.837,54.675,33756,0.0209952
546,   6.2,54.999,58.077,35516,0.0209952
547,   6.2,57.753,59.697,33268,0.0209952
548,   6.2,59.535,57.591,33323,0.0209952
549,   6.2,60.831,56.457,36946,0.0209952
550,   6.2, 61.56,68.364,7850,0.0052488
551,   6.2,62.289,71.037,34310,0.0209952
552,   6.2,62.7264,63.8928,43511,0.026244
553,   6.3,64.395,67.959,75215,0.0419904
554,6.31429,64.5454,61.8146,61607,0.0367416
555,   6.2,65.016,65.016,25397,0.0157464
556,6.31429,69.0814,72.5066,62252,0.0367416
557,  6.45,28.593,3.1185,33934,0.0209952
558,   6.4,30.375,12.393,32728,0.0209952
559,  6.48,32.3028,23.8464,41258,0.026244
560,   6.5,33.615,22.842,31372,0.0209952
561,  6.44,36.8712,9.9792,40657,0.026244
562,   6.5, 36.99,34.236,50399,0.0314928
563,   6.4,37.584,  7.29,7614,0.0052488
564,6.48571,38.4634,0.717429,58185,0.0367416
565,   6.5,38.475,31.509,70778,0.0419904
566,6.51429,38.4634,42.0506,60451,0.0367416
567,   6.4,39.933,44.226,15511,0.0104976
568,   6.4,40.014, 38.07,9247,0.0052488
569,6.48571,40.5926,22.1014,63561,0.0367416
570,6.51429,41.8886,19.9954,56945,0.0367416
571,  6.52,42.6384,6.0588,42559,0.026244
