,z,y,x,intensity,volume
53,   0.8,15.228,13.446,7607,0.0052488
54,   0.8,15.471,20.736,17154,0.0104976
55,   0.8,16.119,24.219,34236,0.0209952
56,0.866667,16.956,24.057,57226,0.0314928
57,   0.8,18.387,22.761,40773,0.0209952
58,0.914286,23.9066,16.4314,54931,0.0367416
59,   0.8,24.8184,26.5032,41007,0.026244
60,   0.8,26.3088,16.6212,41777,0.026244
61,  0.84,29.5488,18.8568,42620,0.026244
62,   0.8,30.051, 20.25,17368,0.0104976
63,   0.8,30.024,27.162,25969,0.0157464
64,   0.8,31.185,19.197,36452,0.0209952
65,   0.8,37.503,25.677,35582,0.0209952
66,   0.8,42.363,27.783,33268,0.0209952
67,  1.16,0.5508,5.2488,45820,0.026244
68,1.06667, 0.594,10.854,23360,0.0157464
69,1.13333,  2.16,18.873,50051,0.0314928
70,1.11429,2.66143,15.6446,63415,0.0367416
71,     1, 5.427,15.309,37481,0.0209952
72,     1, 6.885, 6.804,17342,0.0104976
73,     1, 7.236, 7.398,28317,0.0157464
74,     1,15.633,10.935,39413,0.0209952
75,     1,16.443,19.197,34928,0.0209952
76,1.13333,18.873, 13.23,49462,0.0314928
77,     1,20.682, 19.17,24604,0.0157464
78,     1,32.238, 19.44,7549,0.0052488
79,     1,34.911, 20.25,15905,0.0104976
80,     1,38.556,27.864,43021,0.026244
81,     1,39.123,22.923,33529,0.0209952
82,1.13333,40.095,22.734,51019,0.0314928
83,     1,43.659,27.945,34286,0.0209952
84,1.13333,46.089,25.542,55528,0.0314928
85,1.11429,46.0774,26.3134,63119,0.0367416
86,   1.2, 0.648, 4.536,8863,0.0052488
87,   1.2,  0.81, 7.857,17457,0.0104976
88,   1.2, 2.673,  9.72,16122,0.0104976
89,   1.3, 6.318, 20.25,17461,0.0104976
90,   1.2,  6.48,13.689,18905,0.0104976
91,   1.3,10.287,23.085,71167,0.0419904
92,   1.2,10.854, 22.68,8949,0.0052488
93,1.33333,14.148,11.259,50621,0.0314928
94,   1.2,16.119,18.711,32923,0.0209952
95,   1.2,19.197,23.085,35290,0.0209952
96,   1.2,21.303,18.063,32676,0.0209952
97,   1.2,22.113,15.633,34779,0.0209952
98,   1.2,35.235,27.135,34675,0.0209952
99,1.33333, 35.37,28.755,51635,0.0314928
100,  1.32,37.0008,20.8008,39069,0.026244
101,1.31111,41.904,30.204,78599,0.0472392
102,   1.2,48.195,27.297,32918,0.0209952
103,1.46667, 0.729, 8.343,53331,0.0314928
104,  1.44,2.3652,7.5168,41952,0.026244
105,   1.4, 3.969, 4.455,33431,0.0209952
106,   1.4, 6.075,21.141,33511,0.0209952
107,   1.4, 7.533,15.633,33752,0.0209952
108,   1.4,12.636,13.689,15006,0.0104976
109,   1.5,13.365,13.527,65294,0.0419904
110,1.48571,16.1074,10.7846,61278,0.0367416
111,   1.4, 17.01,25.191,16211,0.0104976
112,  1.45,18.3465,22.5585,35510,0.0209952
113,1.48889,20.232, 25.56,78583,0.0472392
114,   1.4,22.437,14.661,32207,0.0209952
115,   1.4,22.599,15.471,36176,0.0209952
116,   1.4,24.867,27.297,34720,0.0209952
117,1.48571,27.1234,27.7714,62201,0.0367416
118,   1.4,27.945,27.621,38257,0.0209952
119,   1.4,30.3866,19.9491,60482,0.0367416
120,   1.4,31.023,19.116,16401,0.0104976
121,   1.5,31.671,20.331,67363,0.0419904
122,   1.4,33.129,19.521,33041,0.0209952
123,1.46667,35.424,27.945,49500,0.0314928
124,  1.52,43.9344,29.0952,38649,0.026244
125,   1.4,48.114,25.353,14874,0.0104976
126,1.46667,53.703, 30.51,47476,0.0314928
127,   1.4,54.675,29.403,37337,0.0209952
128,   1.6, 0.486, 4.293,19242,0.0104976
129,   1.7, 2.916,14.904,17374,0.0104976
130,   1.6,3.1104,19.8612,46987,0.026244
131,   1.6, 6.912,20.034,24958,0.0157464
132,   1.6,14.661,13.527,40291,0.0209952
133,   1.6,15.633,11.421,34641,0.0209952
134,   1.6,17.577,25.677,32952,0.0209952
135,   1.6,22.599,26.163,38059,0.0209952
136,   1.6,23.085,26.487,39104,0.0209952
137,   1.6,27.297,23.166,16860,0.0104976
138,   1.6, 27.54,22.275,18379,0.0104976
139,   1.6,34.8624,20.0232,50160,0.026244
140,   1.6,38.232,29.808,8242,0.0052488
141,   1.6,44.793,29.241,31588,0.0209952
142,1.66667,45.495,26.622,53662,0.0314928
143,   1.6,49.815,29.241,36188,0.0209952
144,   1.6,55.161,28.917,37340,0.0209952
145,   1.8, 1.215,18.873,34550,0.0209952
146,   1.8,  1.62, 7.533,17655,0.0104976
147,   1.8, 2.511,15.471,36863,0.0209952
148,   1.8,  2.43,18.792,7945,0.0052488
149,   1.8,6.9984,6.7392,43760,0.026244
150,   1.8,12.555,24.057,34203,0.0209952
151,   1.8,13.527,20.655,32246,0.0209952
152,  1.84,16.9452,11.4372,40454,0.026244
153,   1.8,20.412,26.244,8259,0.0052488
154,   1.8,21.627,15.957,36357,0.0209952
155,   1.8, 25.38,27.594,29625,0.0157464
156,   1.8,27.783,22.842,17682,0.0104976
157,   1.8,37.7784,30.3912,48069,0.026244
158,   1.8,40.986,22.437,55389,0.0314928
159,1.93333,42.984,31.185,54589,0.0314928
160,   1.8,46.494,26.244,7837,0.0052488
161,   1.8,48.033,30.537,37906,0.0209952
162,1.86667,48.276,24.354,24432,0.0157464
163,   1.9,50.949,30.861,66283,0.0419904
164,1.93333,57.726,27.621,54442,0.0314928
165,  1.92,58.5792,27.6372,41489,0.026244
166,     2, 1.701,15.309,34890,0.0209952
167,     2, 2.025,  4.05,15347,0.0104976
168,     2, 5.103, 8.019,31752,0.0209952
169,     2, 6.399,14.175,32969,0.0209952
170,     2, 6.723,20.736,16927,0.0104976
171,     2,12.096, 9.126,24519,0.0157464
172,2.11429,16.4314,12.2194,64099,0.0367416
173,     2,16.929,24.867,36929,0.0209952
174,  2.16,22.5828,15.3252,45793,0.026244
175,2.08571,29.8774,28.7666,56767,0.0367416
176,     2,33.453,29.079,36774,0.0209952
177,     2,40.095,21.627,35965,0.0209952
178,2.11111,44.136,22.734,75781,0.0472392
179,     2,45.198,27.4185,36232,0.0209952
180,   2.1,45.603,28.107,73808,0.0419904
181,     2,47.061,24.867,36535,0.0209952
182,     2,47.223,30.861,34722,0.0209952
183,  2.16,47.7252,25.0452,41185,0.026244
184,     2,51.111,25.515,33486,0.0209952
185,     2,55.485,29.727,30855,0.0209952
186,   2.3, 2.997, 4.293,66746,0.0419904
187,   2.2, 4.617, 8.424,17087,0.0104976
188,2.26667, 5.265, 8.964,49181,0.0314928
189,   2.2, 7.722, 22.14,28297,0.0157464
190,   2.2,14.472,20.628,23881,0.0157464
191,   2.2,16.416,10.098,26221,0.0157464
192,   2.2,16.686,10.692,8253,0.0052488
193,   2.2,19.278,12.312,8514,0.0052488
194,   2.3,39.771,28.107,65580,0.0419904
195,  2.24,41.8932,21.9348,43163,0.026244
196,   2.2,49.491,24.543,34519,0.0209952
197,2.26667,50.625, 24.84,51315,0.0314928
198,   2.2, 50.76,26.352,26560,0.0157464
199,   2.2,61.884,27.864,7465,0.0052488
200,   2.4, 0.648, 3.969,16452,0.0104976
201,   2.4, 1.215,18.873,35853,0.0209952
202,2.53333, 3.996,20.007,50350,0.0314928
203,   2.4, 6.075, 6.237,33227,0.0209952
204,   2.5, 6.885, 6.237,68837,0.0419904
205,   2.4, 7.992,22.086,27150,0.0157464
206,   2.4, 8.343,19.926,16042,0.0104976
207,   2.4,12.312,24.381,16392,0.0104976
208,  2.45,13.7295,20.2905,33799,0.0209952
209,   2.4,15.957,13.041,40348,0.0209952
210,   2.4,16.794,  10.8,24733,0.0157464
211,   2.4, 17.82, 11.34,8117,0.0052488
212,2.51429,18.3754,26.8226,57160,0.0367416
213,   2.4,19.197,13.041,35915,0.0209952
214, 2.475,21.6068,13.4865,69521,0.0419904
215,   2.4,26.649,15.957,34888,0.0209952
216,2.46667,30.861,29.214,50577,0.0314928
217,   2.4,42.606,31.266,9085,0.0052488
218,   2.4,44.118,31.374,25603,0.0157464
219,   2.4,47.223,23.247,43139,0.0209952
220,2.46667,48.816,24.219,56927,0.0314928
221,   2.4,49.005,31.995,33709,0.0209952
222,   2.4,50.301,26.001,36464,0.0209952
223,  2.44,50.8032,31.4928,46904,0.026244
224,   2.4,52.434,24.408,24829,0.0157464
225,   2.4,53.217,25.353,34465,0.0209952
226,2.46667,53.352,24.543,53803,0.0314928
227,   2.4,53.703,32.157,34097,0.0209952
228,  2.48,54.6588,27.0864,38442,0.026244
229,   2.4,57.105,26.001,34927,0.0209952
230,   2.5,57.915,30.861,77530,0.0419904
231,   2.4, 58.59,26.622,23496,0.0157464
232,   2.4,58.725,30.213,38208,0.0209952
233,   2.4,59.751,27.189,54177,0.0314928
234,2.48571,60.6574,29.3914,58476,0.0367416
235,2.46667, 62.64,30.861,56264,0.0314928
236,   2.4,63.909,29.565,39799,0.0209952
237,   2.5,71.847,28.917,68905,0.0419904
238,2.48571,72.0206,30.5254,62794,0.0367416
239,   2.6, 9.963,14.337,39865,0.0209952
240,   2.6,13.0248,9.5904,43323,0.026244
241,  2.64,13.6728,25.0128,43228,0.026244
242,   2.6,19.197,11.745,36899,0.0209952
243,   2.6,22.761,27.783,33764,0.0209952
244,   2.6,24.1056,28.2528,42643,0.026244
245,   2.6,25.677,15.309,35805,0.0209952
246,   2.6,44.604,31.374,25718,0.0157464
247,2.63333,58.617, 31.32,51448,0.0314928
248,   2.6,61.344,31.374,26962,0.0157464
249,   2.6,63.9495, 29.97,37600,0.0209952
250,2.66667, 65.07,27.783,56549,0.0314928
251,   2.6,66.339,28.431,37931,0.0209952
252,2.91429,7.86857,19.9954,62903,0.0367416
253,2.91429,21.9626,27.4474,62184,0.0367416
254,  2.92,26.1144,28.0908,37610,0.026244
255,  2.92,26.9568,27.9936,41957,0.026244
256,2.88571,27.3086,27.1234,57677,0.0367416
257,  2.96,27.9612,29.4192,43179,0.026244
258,  2.95,30.1725,30.0915,32461,0.0209952
259,2.88571,37.8154,31.1734,59816,0.0367416
260,  2.96,41.6988,22.6152,43140,0.026244
261,2.93333,  45.9,22.599,52400,0.0314928
262,   2.9,49.491,24.381,73114,0.0419904
263,2.91429,63.7354,31.1734,61058,0.0367416
264,2.93333,65.826,27.945,57255,0.0314928
265,2.86667,70.146,30.726,22670,0.0157464
266,   2.9,70.551,27.945,70811,0.0419904
267,2.93333,72.522, 29.16,23634,0.0157464
268,   3.1, 8.991, 6.723,66587,0.0419904
269,3.11429,12.5434,11.2706,59548,0.0367416
270,     3,28.782,27.648,26200,0.0157464
271,3.06667,32.022,17.739,50568,0.0314928
272,     3,43.173,31.509,34588,0.0209952
273,  3.16,45.1008,22.2912,43728,0.026244
274,3.11429,51.2846,32.1686,58986,0.0367416
275,   3.1,52.731,23.895,72124,0.0419904
276,   3.1,54.837,25.515,67030,0.0419904
277,   3.1,57.591,26.487,67720,0.0419904
278,3.06667,58.266,24.867,48198,0.0314928
279,   3.1,59.049,25.191,63767,0.0419904
280,     3, 61.56,31.833,17631,0.0104976
281,     3,69.336, 27.54,8108,0.0052488
282,   3.1,77.355,26.973,67413,0.0419904
283,   3.2,  6.48,21.384,7742,0.0052488
284,3.33333,  7.83,22.356,23593,0.0157464
285,3.26667,13.392,10.773,53462,0.0314928
286,   3.2,28.134, 27.27,23874,0.0157464
287,   3.2, 30.78,29.403,16698,0.0104976
288,  3.24,44.6472,31.8168,43524,0.026244
289,   3.2,46.899,24.138,52711,0.0314928
290,   3.2,54.513,24.381,34301,0.0209952
291,3.26667, 60.93,25.182,79141,0.0472392
292,3.22857,63.9437,29.5071,67046,0.0367416
293,   3.2,66.852,27.756,23977,0.0157464
294,   3.2,68.6556,31.8492,45916,0.026244
295,   3.2,69.174,27.378,8464,0.0052488
296,   3.2,69.498,26.487,15243,0.0104976
297,  3.24,75.2652,29.3868,45983,0.026244
298,   3.4, 3.645,  6.48,15249,0.0104976
299,   3.4, 9.801,14.661,35614,0.0209952
300,   3.4, 9.801,15.471,34112,0.0209952
301,   3.4,13.608,10.125,15417,0.0104976
302,   3.4,13.689,15.633,30683,0.0209952
303,   3.4,26.487,15.633,36862,0.0209952
304,   3.4,26.6976,29.5812,42311,0.026244
305,   3.4, 46.17,23.247,16068,0.0104976
306,  3.44,52.0992,25.3368,45995,0.026244
307,   3.4, 57.24,24.246,25106,0.0157464
308,3.53333,63.558,25.029,48738,0.0314928
309,   3.4,64.557,30.861,34907,0.0209952
310,   3.4,75.168,33.291,15556,0.0104976
311,   3.4,75.492,31.185,15139,0.0104976
312,  3.55,76.059,28.3905,32472,0.0209952
313,   3.4,77.031,28.107,34993,0.0209952
314,3.73333, 3.618, 7.452,25309,0.0157464
315,   3.6, 6.237, 5.589,37390,0.0209952
316,3.71429,8.03057,20.0186,57571,0.0367416
317,   3.6, 9.558,14.094,8879,0.0052488
318,3.71429,15.4594,9.81257,57897,0.0367416
319,3.71429,18.8614,27.4706,55297,0.0367416
320,   3.6,27.783,29.889,37495,0.0209952
321, 3.725,30.0308,16.4025,71962,0.0419904
322,   3.6,30.456,29.727,17320,0.0104976
323,   3.6,31.5252,30.4884,46002,0.026244
324,   3.6,35.397,31.023,34189,0.0209952
325,   3.6,36.369,18.873,34902,0.0209952
326,   3.7,36.693,31.671,72695,0.0419904
327,   3.6,37.179,26.892,49761,0.0314928
328,   3.6,44.955,32.805,34294,0.0209952
329,   3.6, 46.44, 26.46,23137,0.0157464
330,   3.6,46.899,23.247,34047,0.0209952
331,   3.6,54.189,23.814,16620,0.0104976
332,   3.7,54.837,31.185,67717,0.0419904
333,   3.7,56.862,25.029,32551,0.0209952
334,3.71429,58.4126,23.4669,66396,0.0367416
335,   3.6, 58.86, 24.03,28846,0.0157464
336,   3.6, 60.75,32.157,15540,0.0104976
337,  3.76,62.7588,24.8832,43100,0.026244
338,3.71429,62.7634,33.2794,60530,0.0367416
339,   3.6,63.828,30.699,15661,0.0104976
340,   3.6,65.934,27.702,8563,0.0052488
341,   3.6,66.339,28.917,39412,0.0209952
342,3.68571,73.2934,27.1466,58411,0.0367416
343,  3.76,73.2888,33.7608,46844,0.026244
344,   3.6,73.791,33.453,38495,0.0209952
345,  3.76,75.2328,29.9052,39474,0.026244
346,   3.6,78.489,26.811,34288,0.0209952
347,   3.8,  0.81,12.231,15905,0.0104976
348,   3.9, 8.991, 6.885,64740,0.0419904
349,   3.8,12.069, 8.343,34350,0.0209952
350,3.93333,13.986,25.353,53233,0.0314928
351,  3.85,14.661,16.8075,32441,0.0209952
352,   3.8,16.929,10.125,34779,0.0209952
353,3.93333,17.901,26.676,49774,0.0314928
354,   3.8,19.683,11.421,34555,0.0209952
355,3.86667, 24.03,15.471,48532,0.0314928
356,3.93333, 26.46,15.309,51833,0.0314928
357,   3.8,30.861,16.767,33209,0.0209952
358,   3.8,37.422,31.914,8320,0.0052488
359,3.86667, 39.96,32.319,47933,0.0314928
360,   3.8,42.606,20.817,16275,0.0104976
361,  3.84,45.1332,22.5828,43676,0.026244
362,  3.84,46.4292,21.6108,41563,0.026244
363,   3.9,48.195,32.805,67829,0.0419904
364,   3.9,52.407,33.453,66191,0.0419904
365,3.86667,53.217,31.482,52034,0.0314928
366,   3.8,54.189,31.347,34328,0.0209952
367,   3.8,54.648,33.102,23941,0.0157464
368,   3.8,54.837,24.867,35815,0.0209952
369,  3.96,54.8208,32.1408,40526,0.026244
370,   3.8, 61.83,33.426,23119,0.0157464
371,   3.8,69.012,26.244,8197,0.0052488
372,  3.96,69.7572,25.3368,44583,0.026244
373,3.88571,70.0071,32.8397,62895,0.0367416
374,3.91429,70.7014,32.9786,65292,0.0367416
375,3.86667,70.794,25.488,23801,0.0157464
376,   3.8,76.518,29.106,23970,0.0157464
377,3.86667,77.382,32.157,51472,0.0314928
378,3.82222,78.318,32.472,79427,0.0472392
379,     4,44.388,31.671,16117,0.0104976
380,     4,45.846,33.048,8571,0.0052488
381,     4,46.251,32.724,17339,0.0104976
382,     4,66.474,28.242,24732,0.0157464
383,   4.2, 3.483, 6.561,33662,0.0209952
384,   4.2, 5.751, 5.427,34158,0.0209952
385,   4.2, 7.857,13.689,37949,0.0209952
386,4.33333, 10.26, 14.58,24644,0.0157464
387,  4.36,11.4048,17.9172,46114,0.026244
388,4.25714,19.4863,12.0343,59398,0.0367416
389,   4.2,23.652,14.499,17410,0.0104976
390,   4.2,29.565,30.618,15736,0.0104976
391,   4.2,34.425,21.303,39605,0.0209952
392,  4.36,36.3528,18.0792,45363,0.026244
393,   4.2,39.285,19.197,33473,0.0209952
394,  4.36,41.3748,19.8612,41697,0.026244
395,  4.25,50.7465,22.0523,73972,0.0419904
396,   4.2,52.812,23.085,16280,0.0104976
397,   4.2,69.093,25.677,41385,0.0209952
398,   4.2,74.0745,26.082,34144,0.0209952
399,   4.2,76.869,28.107,33900,0.0209952
400,   4.2,77.517,33.615,37569,0.0209952
401,  4.24,78.3108,33.5988,42128,0.026244
402,   4.2,78.489,31.347,39596,0.0209952
403,   4.4,  7.56,14.364,25973,0.0157464
404,   4.4, 9.153,10.287,34171,0.0209952
405,   4.4, 9.072,13.689,16995,0.0104976
406,   4.4,13.716,22.248,24134,0.0157464
407,4.53333, 16.74,10.287,58047,0.0314928
408,4.51429,20.6434,11.7334,56635,0.0367416
409,  4.48,33.9228,30.9744,40842,0.026244
410,4.51429,35.7094,32.0066,57689,0.0367416
411,   4.5,37.827,32.319,64409,0.0419904
412,   4.4,39.771,19.845,35827,0.0209952
413,   4.4,46.575,22.437,31663,0.0209952
414,   4.4,47.385,33.129,42742,0.0209952
415,   4.4,48.681,21.627,35812,0.0209952
416,4.53333,51.084,34.101,50178,0.0314928
417,   4.4,60.183,23.409,41076,0.0209952
418,   4.4,63.099,25.353,35850,0.0209952
419,   4.4,72.495,34.101,34598,0.0209952
420,  4.52,73.3212,26.8596,43804,0.026244
421,   4.7, 0.729,17.901,65476,0.0419904
422,  4.76,1.0692,12.5712,42488,0.026244
423,   4.7, 7.533,22.275,66055,0.0419904
424,4.68571,9.78943,13.6774,62444,0.0367416
425,  4.76,15.6168,9.7848,39679,0.026244
426,   4.6,16.9128,11.2104,45199,0.026244
427,  4.65,18.0225,12.0285,35586,0.0209952
428,   4.6,18.063,26.811,35749,0.0209952
429,4.66667,23.409,29.376,52530,0.0314928
430,   4.6,24.219,14.013,35694,0.0209952
431,4.66667,29.106,15.309,46140,0.0314928
432,4.66667,33.129,17.226,49619,0.0314928
433,4.66667,38.097,19.143,49148,0.0314928
434,   4.6, 44.55,20.736,8023,0.0052488
435,4.66667,56.295,23.436,52645,0.0314928
436,   4.6,61.722,34.263,15352,0.0104976
437,   4.6,66.744,33.696,9274,0.0052488
438,   4.7,67.797,24.192,48340,0.0314928
439,  4.76,68.7528,34.2792,43208,0.026244
440,4.68571,70.2154,25.8274,58195,0.0367416
441,   4.7,70.551,29.079,64601,0.0419904
442,   4.6,73.629,34.263,36585,0.0209952
443,   4.8, 1.458, 9.072,8163,0.0052488
444,   4.8, 2.997,20.655,33425,0.0209952
445,  4.95, 3.483,6.1965,31186,0.0209952
446,   4.8,5.3865,21.546,34831,0.0209952
447,   4.8, 6.075,  8.91,15463,0.0104976
448,   4.9, 6.237, 9.801,74138,0.0419904
449,   4.8,10.287, 7.533,35157,0.0209952
450,   4.8,10.6272,24.3324,44161,0.026244
451,   4.9,14.337,25.677,67226,0.0419904
452,4.86667,26.325,30.078,48442,0.0314928
453,4.86667,32.238, 16.74,24306,0.0157464
454,   4.9,49.329,34.101,69449,0.0419904
455,   4.8,53.379,23.004,16894,0.0104976
456,   4.8,54.108,23.166,8557,0.0052488
457,   4.8,64.152,27.135,15391,0.0104976
458,  4.84,65.8692,34.9272,40993,0.026244
459,4.88571,66.9986,32.3074,54461,0.0367416
460,   4.8,67.311,34.263,37015,0.0209952
461,4.86667,76.086,24.543,49734,0.0314928
462,   4.8,78.327,31.185,35073,0.0209952
463,     5, 1.377,19.683,36442,0.0209952
464,     5, 4.779,  5.67,16423,0.0104976
465,     5,15.714,26.082,7453,0.0052488
466,     5,20.817,28.431,34696,0.0209952
467,     5,21.465,12.312,17314,0.0104976
468,     5,27.459,14.661,32352,0.0209952
469,     5,35.073,31.023,33388,0.0209952
470,5.08571,35.0846,31.9834,57472,0.0367416
471,     5,41.553,19.197,38984,0.0209952
472,5.13333,42.822, 19.44,25074,0.0157464
473,     5,45.441,33.939,33144,0.0209952
474,     5,48.276, 21.87,7746,0.0052488
475,5.08571,54.0386,22.4254,60390,0.0367416
476,     5,66.501,23.733,34732,0.0209952
477,     5, 71.28, 29.16,9234,0.0052488
478,5.11429,73.6174,35.0614,57827,0.0367416
479,5.08889, 75.06,35.244,73963,0.0472392
480,  5.36,1.0368,13.5432,43505,0.026244
481,   5.2, 2.511,20.412,16969,0.0104976
482,  5.36,3.4668,4.4388,44005,0.026244
483,   5.2, 3.807, 5.427,35372,0.0209952
484,   5.2, 6.399,10.611,32481,0.0209952
485,   5.2, 6.885, 8.991,33541,0.0209952
486,   5.2, 6.912,21.978,25659,0.0157464
487,   5.2, 9.882, 8.343,16078,0.0104976
488,   5.2,10.611, 8.343,33667,0.0209952
489,   5.2,12.717, 8.343,33601,0.0209952
490,   5.2,30.375,31.185,35264,0.0209952
491,   5.2,33.696, 30.78,8528,0.0052488
492,   5.2, 34.29,30.834,26414,0.0157464
493,   5.2,37.503,18.063,37321,0.0209952
494,   5.2,49.167, 34.83,15669,0.0104976
495,   5.2,52.812,22.599,18126,0.0104976
496,   5.2,54.837,22.437,33363,0.0209952
497,   5.2,54.756,34.587,15728,0.0104976
498,   5.2,60.993,34.425,36945,0.0209952
499,   5.2,61.317,32.805,33855,0.0209952
500,   5.2,62.1108,34.5384,40523,0.026244
501,   5.2,64.3788,34.9596,46237,0.026244
502,   5.2,65.043,23.247,35582,0.0209952
503,   5.2,69.1416,24.3972,41021,0.026244
504,   5.2,70.632,24.381,17294,0.0104976
505,   5.2,71.523,28.431,41351,0.0209952
506,   5.3,77.355,34.911,66542,0.0419904
507,   5.5, 2.025,19.683,69993,0.0419904
508,   5.4, 7.776,  6.48,7934,0.0052488
509,   5.4,10.125, 7.533,34194,0.0209952
510,5.53333,10.773, 16.47,48295,0.0314928
511,   5.5,10.773,24.354,48065,0.0314928
512,   5.4,16.686,26.487,17947,0.0104976
513,   5.4,17.253,10.611,32914,0.0209952
514,5.51429,18.7226,27.1466,59132,0.0367416
515,   5.4,19.521,22.275,34974,0.0209952
516,   5.4,20.007,21.627,39187,0.0209952
517,5.51429,21.2914,12.3814,58271,0.0367416
518,   5.4,23.733,13.527,36580,0.0209952
519,   5.4,25.596,30.051,18715,0.0104976
520,   5.5,27.297,18.873,71640,0.0419904
521,   5.4,33.777,30.618,16907,0.0104976
522,   5.4,38.313,32.967,36151,0.0209952
523,   5.4,50.949,20.817,34146,0.0209952
524,5.53333,64.368,26.487,52698,0.0314928
525,   5.4,66.825,34.101,37642,0.0209952
526,  5.56,67.2948,25.1748,46318,0.026244
527,   5.5,67.311,35.397,65374,0.0419904
528,5.46667, 69.66,31.968,26448,0.0157464
529,   5.4,73.305,34.263,35578,0.0209952
530,   5.4,75.006,24.381,18538,0.0104976
531,5.48571,79.3106,32.9554,58717,0.0367416
532,   5.6, 8.343, 9.963,34413,0.0209952
533,5.68571,12.2426,25.0174,60498,0.0367416
534,  5.64,16.4592,26.1792,44959,0.026244
535,5.66667, 17.28,14.985,50898,0.0314928
536,   5.7,21.141,13.203,72374,0.0419904
537,   5.6,23.058,13.014,22733,0.0157464
538,   5.6,26.487,30.051,32944,0.0209952
539,5.68571,30.0626,15.4594,60429,0.0367416
540,   5.6,34.2144,17.2368,45530,0.026244
541,   5.7,45.279,34.101,72394,0.0419904
542,   5.7, 48.33, 34.56,51811,0.0314928
543,5.71429,52.8814,29.0906,56029,0.0367416
544,   5.6,54.351,29.727,34817,0.0209952
545,   5.7,64.557,24.057,74612,0.0419904
546,   5.6,69.741,32.967,32568,0.0209952
547,   5.6,71.037,24.219,32199,0.0209952
548,   5.6,70.956,28.593,18248,0.0104976
549,   5.6,75.654,24.462,8453,0.0052488
550,  5.65,76.5855,24.543,35046,0.0209952
551,  5.84,2.2032,4.4388,41116,0.026244
552,5.86667, 3.807, 5.076,53864,0.0314928
553,   5.8, 5.589, 9.558,17130,0.0104976
554,   5.8, 6.372,  6.75,27119,0.0157464
555,   5.8, 6.723, 6.075,34297,0.0209952
556,   5.8,15.147, 9.639,34981,0.0209952
557,   5.8,25.326,  29.7,27751,0.0157464
558,   5.8,38.799,24.867,36890,0.0209952
559,   5.8,39.7548,33.0804,42520,0.026244
560,   5.8,42.039,20.331,35455,0.0209952
561,  5.88,42.7032,26.7948,40375,0.026244
562,   5.8,49.005,26.973,32462,0.0209952
563,   5.8,49.005,34.911,35095,0.0209952
564,   5.8,50.625,35.235,38676,0.0209952
565,   5.8,54.999,22.437,42097,0.0209952
566,5.86667,64.557, 35.91,53462,0.0314928
567,   5.8,67.311,24.219,35671,0.0209952
568,5.86667,69.579, 31.32,53821,0.0314928
